Company,Ticker,Date,Price,Type
Microsoft,MSFT,Apr 2024,$383.44,Historical
Microsoft,MSFT,May 2024,$409.59,Historical
Microsoft,MSFT,Jun 2024,$440.99,Historical
Microsoft,MSFT,Jul 2024,$412.77,Historical
Microsoft,MSFT,Aug 2024,$412.32,Historical
Microsoft,MSFT,Sep 2024,$425.32,Historical
Microsoft,MSFT,Oct 2024,$401.65,Historical
Microsoft,MSFT,Nov 2024,$419.40,Historical
Microsoft,MSFT,Dec 2024,$417.46,Historical
Microsoft,MSFT,Jan 2025,$411.08,Historical
Microsoft,MSFT,Feb 2025,$393.97,Historical
Microsoft,MSFT,Mar 2025,$372.54,Historical
Microsoft,MSFT,Apr 2025,$392.26,Historical
Microsoft,MSFT,May 2025,$457.70,Historical
Microsoft,MSFT,Jun 2025,$494.54,Historical
Microsoft,MSFT,Jul 2025,$530.42,Historical
Microsoft,MSFT,Aug 2025,$504.59,Historical
Microsoft,MSFT,Sep 2025,$515.81,Historical
Microsoft,MSFT,Oct 2025,$515.67,Historical
Microsoft,MSFT,Nov 2025,$490.89,Historical
Microsoft,MSFT,Dec 2025,$482.52,Historical
Microsoft,MSFT,Jan 2026,$429.31,Historical
Microsoft,MSFT,Feb 2026,$392.74,Historical
Microsoft,MSFT,Mar 2026,$391.79,Historical
Microsoft,MSFT,Mar 2026,$78.54,Forecast
Microsoft,MSFT,Apr 2026,$104.88,Forecast
Microsoft,MSFT,May 2026,$86.40,Forecast
Microsoft,MSFT,Jun 2026,$102.08,Forecast
Microsoft,MSFT,Jul 2026,$90.46,Forecast
Microsoft,MSFT,Aug 2026,$111.60,Forecast
Microsoft,MSFT,Sep 2026,$109.02,Forecast
Microsoft,MSFT,Oct 2026,$88.22,Forecast
Microsoft,MSFT,Nov 2026,$96.06,Forecast
Microsoft,MSFT,Dec 2026,$96.37,Forecast
Microsoft,MSFT,Jan 2027,$96.97,Forecast
Microsoft,MSFT,Feb 2027,$100.87,Forecast
Microsoft,MSFT,Mar 2027,$106.77,Forecast
Microsoft,MSFT,Apr 2027,$94.19,Forecast
Microsoft,MSFT,May 2027,$94.30,Forecast
Microsoft,MSFT,Jun 2027,$94.82,Forecast
Microsoft,MSFT,Jul 2027,$103.88,Forecast
Microsoft,MSFT,Aug 2027,$102.39,Forecast
Meta,META,Mar 2021,$292.24,Historical
Meta,META,Apr 2021,$322.55,Historical
Meta,META,May 2021,$326.17,Historical
Meta,META,Jun 2021,$345.00,Historical
Meta,META,Jul 2021,$353.53,Historical
Meta,META,Aug 2021,$376.43,Historical
Meta,META,Sep 2021,$336.75,Historical
Meta,META,Oct 2021,$321.05,Historical
Meta,META,Nov 2021,$321.93,Historical
Meta,META,Dec 2021,$333.73,Historical
Meta,META,Jan 2022,$310.82,Historical
Meta,META,Feb 2022,$209.39,Historical
Meta,META,Mar 2022,$220.63,Historical
Meta,META,Apr 2022,$198.91,Historical
Meta,META,May 2022,$192.13,Historical
Meta,META,Jun 2022,$159.99,Historical
Meta,META,Jul 2022,$157.86,Historical
Meta,META,Aug 2022,$161.66,Historical
Meta,META,Sep 2022,$134.62,Historical
Meta,META,Oct 2022,$92.43,Historical
Meta,META,Nov 2022,$117.18,Historical
Meta,META,Dec 2022,$119.40,Historical
Meta,META,Jan 2023,$147.81,Historical
Meta,META,Feb 2023,$173.58,Historical
Meta,META,Mar 2023,$210.29,Historical
Meta,META,Apr 2023,$238.45,Historical
Meta,META,May 2023,$262.66,Historical
Meta,META,Jun 2023,$284.75,Historical
Meta,META,Jul 2023,$316.12,Historical
Meta,META,Aug 2023,$293.59,Historical
Meta,META,Sep 2023,$297.87,Historical
Meta,META,Oct 2023,$298.92,Historical
Meta,META,Nov 2023,$324.60,Historical
Meta,META,Dec 2023,$351.20,Historical
Meta,META,Jan 2024,$387.10,Historical
Meta,META,Feb 2024,$486.83,Historical
Meta,META,Mar 2024,$482.31,Historical
Meta,META,Apr 2024,$427.27,Historical
Meta,META,May 2024,$463.69,Historical
Meta,META,Jun 2024,$501.32,Historical
Meta,META,Jul 2024,$472.10,Historical
Meta,META,Aug 2024,$518.31,Historical
Meta,META,Sep 2024,$569.69,Historical
Meta,META,Oct 2024,$564.86,Historical
